devicecode,Level1,Level2,Level3,Level4,Weighted,sbbm,Color
30M00000042049046,新疆,750kV,750kV亚中变电站,3#C相主变压器,1,30M00000042049046,34
30M00000036705316,新疆,750kV,750kV乌北变电站,2#A相主变压器,1,30M00000036705316,34
30M00000036705738,新疆,750kV,750kV乌北变电站,2#B相主变压器,1,30M00000036705738,34
30M00000024003155,新疆,750kV,750kV乌北变电站,70912A相电抗器,1,30M00000024003155,34
30M00000024003178,新疆,750kV,750kV吐鲁番变电站,2#A相主变压器,1,30M00000024003178,34
30M00000024003201,新疆,750kV,750kV凤凰变电站,2#C相主变压器,1,30M00000024003201,34
30M00000024003156,新疆,750kV,750kV乌北变电站,70912B相电抗器,1,30M00000024003156,34
30M00000024003158,新疆,750kV,750kV乌北变电站,1#A相主变压器,1,30M00000024003158,34
30M00000024003160,新疆,750kV,750kV乌北变电站,1#B相主变压器,1,30M00000024003160,34
30M00000024003177,新疆,750kV,750kV吐鲁番变电站,71015 C相高压电抗器,1,30M00000024003177,34
30M00000024003170,新疆,750kV,750kV吐鲁番变电站,70913 B相高压电抗器,1,30M00000024003170,34
30M00000024003196,新疆,750kV,750kV哈密变电站,1#B相主变压器,1,30M00000024003196,34
30M00000024003199,新疆,750kV,750kV凤凰变电站,2#A相主变压器,1,30M00000024003199,34
30M00000036183599,新疆,750kV,750kV伊犁变电站,2#B相主变压器,1,30M00000036183599,34
30M00000036265432,新疆,750kV,750kV凤凰变电站,凤苏线高压A相电抗器,1,30M00000036265432,34
30M00000036265460,新疆,750kV,750kV凤凰变电站,凤苏线高压B相电抗器,1,30M00000036265460,34
30M00000036265449,新疆,750kV,750kV凤凰变电站,凤苏线高压C相电抗器,1,30M00000036265449,34
30M00000036435598,新疆,750kV,750kV凤凰变电站,1#C相主变压器,1,30M00000036435598,34
30M00000024003189,新疆,750kV,750kV哈密变电站,哈敦一线A高压电抗器,1,30M00000024003189,34
30M00000024003191,新疆,750kV,750kV哈密变电站,哈敦一线C高压电抗器,1,30M00000024003191,34
30M00000024003192,新疆,750kV,750kV哈密变电站,哈敦二线A高压电抗器,1,30M00000024003192,34
30M00000024003193,新疆,750kV,750kV哈密变电站,哈敦二线B高压电抗器,1,30M00000024003193,34
30M00000024003195,新疆,750kV,750kV哈密变电站,1#A相主变压器,1,30M00000024003195,34
